Category,Brand Name,Symbol,Label Name,Label Comp,D/P/M,Symbol Required?,Notes,KID,Expires,Group
Beer,Bear Beer,KF,Bear Beer 10%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer 4.2%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer 7.7%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer 8.5%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer Dark 5.3%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer Dark Wheat 5.4%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer Extra Strong 12%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer Lager 5%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer Strong Stout 8%,,,No,,,,
Beer,Bear Beer,KF,Bear Beer Wheat 5%,,,No,,,,
Beer,Bear Beer,KF,Burg Beer 5.5%,,,No,,,,
Beer,Bel Pils,KF,Bel Pils - Bottle/Keg - Belgium,,,No,,,,
Beer,Berliner,KF,Berliner Kindl Jubiläums Pilsener,,,No,,,,
Beer,Berliner,KF,Berliner Pilsner,,,No,,,,
Beer,Bolleke De Koninck,KF,Bolleke De Koninck - Bottle/Keg - Belgium,,,No,,,,
Beer,Boulevard,KF,Tank 7 - Bottle/Keg - Belgium,,,No,,,,
Beer,Brouwerij ’T IJ,KF,IJwit - Bottle/Keg - Belgium,,,No,,,,
Beer,Brouwerij ’T IJ,KF,tIJ IPA - Bottle/Keg - Belgium,,,No,,,,
Beer,Brouwerij ’T IJ,KF,Zatte - Bottle/Keg - Belgium,,,No,,,,
Beer,Budweiser,KF,Budweiser - Bottle/Can - Belgium + UK,,,No,,,,
Beer,Burg,KF,Burg Beer 4.4%,,,No,,,,
Beer,Burg,KF,Burg Extra Strong 12%,,,No,,,,
Beer,Burg,KF,Burg Strong 10%,,,No,,,,
Beer,Burg,KF,Burg Strong Lager Beer 8.5%,,,No,,,,
Beer,Burg,KF,Burg Wheat Beer 5%,,,No,,,,
Beer,Chouffe,KF,Cherry Chouffe - Bottle/Keg - Belgium,,,No,,,,
Beer,Chouffe,KF,Chouffe Soleil - Bottle/Keg - Belgium,,,No,,,,
Beer,Chouffe,KF,Houblon Chouffe - Bottle/Keg - Belgium,,,No,,,,
Beer,Chouffe,KF,La Chouffe - Bottle/Keg - Belgium,,,No,,,,
Beer,Chouffe,KF,Mc Chouffe - Bottle/Keg - Belgium,,,No,,,,
Beer,Chouffe,KF,N'ice Chouffe - Bottle/Keg - Belgium,,,No,,,,
Beer,Chouffe Bok,KF,Chouffe Bok - Bottle/Keg - Belgium,,,No,,,,
Beer,Corona,KF,Corona Extra - Belgium + UK,,,No,,,,
Beer,Darguner,KF,Darguner Bockbier Dunkel 7%,,,No,,,,
Beer,Darguner,KF,Darguner Dunkel 5.2%,,,No,,,,
Beer,Darguner,KF,Darguner Ernte Beer 4.9%,,,No,,,,
Beer,Darguner,KF,Darguner Export 5.2%,,,No,,,,
Beer,Darguner,KF,Darguner Extra Strong 12%,,,No,,,,
Beer,Darguner,KF,Darguner Hell 4.9%,,,No,,,,
Beer,Darguner,KF,Darguner Maibock Hell 7.5%,,,No,,,,
Beer,Darguner,KF,Darguner Oktober-beer 4.9%,,,No,,,,
Beer,Darguner,KF,Darguner Osterbeer 5.6%,,,No,,,,
Beer,Darguner,KF,Darguner Pilsener 5%,,,No,,,,
Beer,Darguner,KF,Darguner Weissbeer 5.1%,,,No,,,,
Beer,De Koninck,KF,De Koninck Winter Beer - Bottle/Keg - Belgium,,,No,,,,
Beer,De Koninck,KF,Lost In Spice - Bottle/Keg - Belgium,,,No,,,,
Beer,De Koninck,KF,Tripel d'Anvers - Bottle/Keg - Belgium,,,No,,,,
Beer,De Koninck,KF,Wild Jo - Bottle/Keg - Belgium,,,No,,,,
Beer,Duvel,KF,Duvel Barrel Aged - Bottle/Keg - Belgium,,,No,,,,
Beer,Duvel,KF,Duvel Beer - Bottle/Keg - Belgium,,,No,,,,
Beer,Duvel,KF,Duvel Magritte - Bottle/Keg - Belgium,,,No,,,,
Beer,Duvel,KF,Duvel Single/Green - Bottle/Keg - Belgium,,,No,,,,
Beer,Duvel,KF,Duvel Tripel Hop - Bottle/Keg - Belgium,,,No,,,,
Beer,Guinness,KF,Guinness Beer - Ireland,,,No,,,,
Beer,Guinness,KF,Guinness Draught - Ireland,,,No,,,,
Beer,Guinness,KF,Guinness Extra Stout - Ireland,,,No,,,,
Beer,Guinness,KF,Guinness Micro Draught - Ireland,,,No,,,,
Beer,Harboe,KF,Harboe Dark 5.2%,,,No,,,,
Beer,Harboe,KF,Harboe Extra Strong 12%,,,No,,,,
Beer,Harboe,KF,Harboe Gold 5.9%,,,No,,,,
Beer,Harboe,KF,Harboe Pilsener 4.6%,,,No,,,,
Beer,Harboe,KF,Harboe Pilsener 5%,,,No,,,,
Beer,Harboe,KF,Harboe Wheat Beer 5%,,,No,,,,
Beer,Hoegaarden,KF,Hoegaarden Forbidden Fruit - Belgium,,,No,,,,
Beer,Hoegaarden,KF,Hoegaarden Grand Cru - Belgium,,,No,,,,
Beer,Hoegaarden,KF,Hoegaarden White - Belgium,,,No,Hoegaarden White 00 is not certified.,,,
Beer,Leffe,KF,Leffe blond - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe brown - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe radieuse - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe rousse (rossa) - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe royal ambrée (mount hood) - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe royal blonde (whitbread golding) - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe royal ipa (cascade) - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe ruby - Belgium,,,Yes,,,,
Beer,Leffe,KF,Leffe vieille cuvée - Belgium,,,Yes,,,,
Beer,Liefmans,KF,Liefmans Cuvee Brut - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Fruitesse - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Fruitesse Alcoholfree Beer - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Gluhkriek - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Goudenband - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Green Apple - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Kriek Brut - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Kriek Brut Xtra - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Oud Bruin - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Peach - Bottle/Keg - Belgium,,,No,,,,
Beer,Liefmans,KF,Liefmans Yell'oh - Bottle/Keg - Belgium,,,No,,,,
Beer,Maredsous,KF,Maredsous Blond - Bottle/Keg - Belgium,,,No,,,,
Beer,Maredsous,KF,Maredsous Bruin - Bottle/Keg - Belgium,,,No,,,,
Beer,Maredsous,KF,Maredsous Kerstbier - Bottle/Keg - Belgium,,,No,,,,
Beer,Maredsous,KF,Maredsous Tripel - Bottle/Keg - Belgium,,,No,,,,
Beer,Martens,KF,Martens Gold beer - Belgium,,,No,,,,
Beer,Martens,KF,Martens Premium beer - Belgium,,,No,,,,
Beer,Martens,KF,Martens Strong beer - Belgium,,,No,,,,
Beer,Martens,KF,Martens Witte - Belgium,,,No,,,,
Beer,Mecklenburger,KF,Mecklenburger Dunkle Weissbeer 5.4%,,,No,,,,
Beer,Mecklenburger,KF,Mecklenburger Export 5.2%,,,No,,,,
Beer,Mecklenburger,KF,Mecklenburger Pilsener 5%,,,No,,,,
Beer,Mecklenburger,KF,Mecklenburger Strong 12%,,,No,,,,
Beer,Mecklenburger,KF,"Mecklenburger Weissbeer 5,1%",,,No,,,,
Beer,Oettinger,KF,Oettinger Alkoholfrei – Oettinger Alcohol Free Beer - Germany,,,No,,,,
Beer,Oettinger,KF,Oettinger Export - Germany,,,No,,,,
Beer,Oettinger,KF,Oettinger Pils - Germany,,,No,,,,
Beer,Oettinger,KF,Oettinger Superforte – Oettinger Strong Beer - Germany,,,No,,,,
Beer,Oettinger,KF,Oettinger Weissbier Naturtrüb – Oettinger Wheat Beer - Germany,,,No,,,,
Beer,Ommegang,KF,Kriek Rosetta - Bottle/Keg - Belgium,,,No,,,,
Beer,Ommegang,KF,Ommegang Brunetta - Bottle/Keg - Belgium,,,No,,,,
Beer,Ommegang,KF,Ommegang Pale Sour - Bottle/Keg - Belgium,,,No,,,,
Beer,Radeberger,KF,"Radeberger Pilsner 4,8%",,,No,,,,
Beer,Stella Artois,KF,Stella Artois - Belgium + UK,,,Yes,,,,
Beer,Vedett,KF,Vedett Extra Elderflower - Bottle/Keg - Belgium,,,No,,,,
Beer,Vedett,KF,Vedett Extra IPA - Bottle/Keg - Belgium,,,No,,,,
Beer,Vedett,KF,Vedett Extra Rosé - Bottle/Keg - Belgium,,,No,,,,
Beer,Vedett,KF,Vedett Extra Sapphire - Bottle/Keg - Belgium,,,No,,,,
Beer,Vedett,KF,Vedett Extra White - Bottle/Keg - Belgium,,,No,,,,
Beer,Vedett,KF,Vedett Session IPA - Bottle/Keg - Belgium,,,No,,,,
Beer,Vedett,KF,Vedett White - Bottle/Keg - Belgium,,,No,,,,
Beer,Viking,KF,Viking Strong Beer 12%,,,No,,,,
Beer,,OK,Corona Cerveza,Cerveceria Modelo S. de R.L. de C.V,,,,WVJDLML,,
Beer,,OK,Corona Extra,Cerveceria Modelo S. de R.L. de C.V,,,,FWQPXHC,,
Beer,,OK,Corona Light,Cerveceria Modelo S. de R.L. de C.V,,,,GFDXKNP,,
Beer,,OK,Coronita Cerveza,Cerveceria Modelo S. de R.L. de C.V,,,,QCZDGGL,,
Beer,,OK,Coronita Extra,Cerveceria Modelo S. de R.L. de C.V,,,,ZWDVZWH,,
Beer,,OK,Leon,Cerveceria Modelo S. de R.L. de C.V,,,,XWRRPRG,,
Beer,,OK,Modelo Especial,Cerveceria Modelo S. de R.L. de C.V,,,,QXJZMPB,,
Beer,,OK,Montejo,Cerveceria Modelo S. de R.L. de C.V,,,,RVJVSBK,,
Beer,,OK,Negra Modelo Beer,Cerveceria Modelo S. de R.L. de C.V,,,,ZZSTVRW,,
Beer,,OK,Victoria,Cerveceria Modelo S. de R.L. de C.V,,,,ZZQZZPP,,
Beer,,OK,Corona Extra,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,XBXVSLD,,
Beer,,OK,Corona Light,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,CJPJSCP,,
Beer,,OK,Coronita Extra,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,GMRZQKV,,
Beer,,OK,Modelo Especial,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,WNXQSGN,,
Beer,,OK,Montejo,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,VQCGMKV,,
Beer,,OK,Estrella,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,PGJBRMS,,
Beer,,OK,Negra Modelo,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,XLJMCXZ,,
Beer,,OK,Pacifico,"Compañía Cervecera de Zacatecas, S. de R.L. de C.V.",,,,SGHFRTX,,
Beer,,OK,Corona Cerveza,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,PQLGSDG,,
Beer,,OK,Corona Extra,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,LHSLXVC,,
Beer,,OK,Corona Light,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,JGCWJVJ,,
Beer,,OK,Coronita Cerveza,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,GBDMJNN,,
Beer,,OK,Coronita Extra,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,CSGPLGV,,
Beer,,OK,Leon,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,RGFLCSJ,,
Beer,,OK,Modelo Especial,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,GVSMTCD,,
Beer,,OK,Montejo,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,GKWTRWB,,
Beer,,OK,Negra Modelo Beer,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,TCQZMGZ,,
Beer,,OK,Modelo Light,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,TMHTTSD,,
Beer,,OK,Pacifico Clara,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,QZFFBMV,,
Beer,,OK,Victoria,"Compañía Cervecera del Tropico, S. de R.L. de C.V.",,,,LLFQXPH,,
Beer,,OK,Schnitt Beer - Jaffa IPA,Beerternational LLC,,,,MDHTHNT,,
Beer,,OK,Schnitt Beer - Tel Aviv Summer Ale,Beerternational LLC,,,,GWMPPWC,,
Beer,,OK,Malty Beer,Israel Beer Breweries Ltd.,,,,WTJFHWG,,
Beer,,OK,Alcoholfree Beer,Pecsi Sorfozde Zrt.,,,,HCZWVCT,,
Beer,,OK,APA Beer,Pecsi Sorfozde Zrt.,,,,LDJCVPX,,
Beer,,OK,Beerhunter Organic Gluten-free Lager,Pecsi Sorfozde Zrt.,,,,MHJFNVG,,
Beer,,OK,Beerhunter Organic IPA,Pecsi Sorfozde Zrt.,,,,JRXDGVK,,
Beer,,OK,Bio Pécsi Prémium Gluténmentes Lager,Pecsi Sorfozde Zrt.,,,,GTZBQGN,,
Beer,,OK,Bio Pécsi Prémium IPA,Pecsi Sorfozde Zrt.,,,,TKKMVVC,,
Beer,,OK,Bio Pécsi Prémium Pale Ale,Pecsi Sorfozde Zrt.,,,,ZSHBBLZ,,
Beer,,OK,Bio Pécsi Prémium Weissbier,Pecsi Sorfozde Zrt.,,,,XTSGPJH,,
Beer,,OK,Bio Winter Bock,Pecsi Sorfozde Zrt.,,,,TXFHLWQ,,
